# CR-011 §0: rule statements that were shared verbatim by 10 or more slugs at 16aa79dd8,
# the last commit before the rewrite. Normalised: lowercase, letters and spaces only.
# A rule whose normalised statement is on this list is FILLER regardless of how many
# slugs carry it today — that is what keeps the gate honest after the stamp is gone.
# Regenerate only by re-measuring on a corpus that still has the stamp; never hand-add.
# format: <slug count at 16aa79dd8>	<normalised statement>
20	any deviation from the canonical procedure must be logged with a one line rationale and surfaced at the next retro
20	apply the decision tree in decision tree xml before authoring record the leaf reached so reviewers can replay the routing
37	apply this methodology only if all entries in applies if hold and none of skip if triggers otherwise abort and route to the correct methodology
20	author must stop and route elsewhere when the decision tree resolves to a skip leaf partial application of this methodology against an unfit input is forbidden
20	before any binding downstream action driven by this output publish send rollout commit a named human reviewer must sign off
18	each instance carries a single named owner and a last touched timestamp instances with no touch in n cycles are auto archived not silently rotted
19	every artefact instance has a named owner role handle accountable for the next step actions outputs without owners are tagged stale at the next cadence
17	every claim in the output cites the input artefact s that justified it untraceable claims are rejected
19	every conclusion ties to evidence data link ticket transcript commit hash unevidenced conclusions are demoted to hypotheses
13	every conclusion ties to evidence data ticket transcript unevidenced conclusions are demoted to hypotheses
65	every decision in the output cites the input artefact s that justified it untraceable decisions are rejected
20	every input field has a declared type and a named source path url artefact id free form prose without a source citation is rejected
127	every input field has a declared type and source free form prose without a source citation is rejected
13	every instance has a named owner accountable for the next step actions outputs without owners are tagged stale at the next cadence
18	every non trivial field value is anchored to a verbatim citation from the source brief transcript ticket or dashboard no anchor field is rejected as fabrication
20	every output produced by this methodology must name a single human owner with edit rights and a review deadline
18	every produced instance carries the full template field set optional fields are explicitly marked n a with a reason never silently omitted
17	if all applies if preconditions hold and no skip if disqualifier is present execute the full procedure from procedure xml and commit the artefact described in output contract xml
39	if any applies if precondition fails or any skip if condition triggers do not apply this methodology emit a skip record naming the failed precondition or triggered skip then route the task to the correct methodology or none
115	if any applies if precondition fails or any skip if condition triggers do not apply this methodology emit a skip record naming the failed precondition triggered skip and route the task to the correct methodology or none
20	if any skip if clause from agents md fires or any precondition fails stop applying this methodology and route to the correct one producing an artefact when the methodology does not apply is forbidden
17	if any skip if condition is present one shot instances year regulator override missing owner do not apply this methodology route to the sibling upstream methodology named in agents md related section
20	if applicability preconditions are unmet see agents md skip if the methodology must be skipped and a one line skip reason logged
18	if applies if preconditions fail or any skip if trigger fires do not run this methodology
