tier,group,domain,skill_path,description
free,dev,backend-developer,skills/faion-knowledge/knowledge/free/dev/backend-developer/SKILL.md,"Backend development routing skill that coordinates two specialized sub-skills for systems-level (Go, Rust, databases, caching) and enterprise web backends (Java, C#, PHP, Ruby). Routes tasks based on technology stack and application needs. Covers microservices, database design, ORM patterns, and enterprise application development."
free,dev,code-quality,skills/faion-knowledge/knowledge/free/dev/code-quality/SKILL.md,"Covers architecture patterns, code decomposition, refactoring, code review practices, and tech debt management across multiple paradigms. Includes clean architecture, DDD, CQRS, event sourcing, code review processes, development practices like XP and pair programming, and technical debt lifecycle management."
free,dev,devtools-developer,skills/faion-knowledge/knowledge/free/dev/devtools-developer/SKILL.md,"Orchestrator for developer tooling coordinating two sub-skills: code quality/architecture (DDD, CQRS, code review, refactoring, tech debt) and automation/tooling (browser automation, CI/CD, monorepo management, performance testing). Addresses both improving code quality and automating development workflows."
free,dev,javascript-developer,skills/faion-knowledge/knowledge/free/dev/javascript-developer/SKILL.md,"Specializes in JavaScript and TypeScript development for React, Node.js, Next.js, and modern JavaScript ecosystem. Covers component architecture, hooks, state management, Next.js app router and server components, Express and Fastify backends, TypeScript patterns, and modern JavaScript features including Bun runtime support."
free,dev,python-developer,skills/faion-knowledge/knowledge/free/dev/python-developer/SKILL.md,"Specializes in Python backend development with Django full-stack applications, FastAPI async APIs, pytest testing frameworks, and Python best practices. Covers Django models, services, API design with DRF, async patterns, type hints, Celery task queues, and Python code quality with tools like ruff and mypy."
free,dev,software-developer,skills/faion-knowledge/knowledge/free/dev/software-developer/SKILL.md,"Full-stack development orchestrator coordinating seven specialized sub-skills: Python, JavaScript, backend systems (Go/Rust), frontend, API design, testing, and devtools. Routes tasks based on technology stack, code area (backend/frontend/full-stack), and existing project patterns. Handles 184 methodologies across development domains."
free,dev,testing-developer,skills/faion-knowledge/knowledge/free/dev/testing-developer/SKILL.md,"Testing strategies covering unit, integration, end-to-end, and security testing alongside test-driven development. Includes test design patterns (AAA, Given-When-Then), mocking strategies, fixtures, language-specific testing frameworks (pytest, Jest, Vitest, Go testing), and test automation best practices."
free,marketing,marketing-manager,skills/faion-knowledge/knowledge/free/marketing/marketing-manager/SKILL.md,"Pure marketing orchestrator coordinating seven specialized sub-skills: GTM strategy, content marketing, growth analytics, conversion optimization, PPC management, SEO, and social media management. No methodologies in this skill itself—all execution delegated to sub-skills based on marketing goal and business model."
geek,ai,ai-agents,skills/faion-knowledge/knowledge/geek/ai/ai-agents/SKILL.md,"Specializes in autonomous AI agents and multi-agent systems development. Covers agent patterns (ReAct, plan-and-execute), frameworks (LangChain, LlamaIndex), LLM tool calling, agentic RAG, multi-agent coordination, MCP integration for Claude tools, and EU AI Act compliance. Includes mandatory XML prompt templating and JSON schema output conventions."
geek,ai,claude-code,skills/faion-knowledge/knowledge/geek/ai/claude-code/SKILL.md,"Configures Claude Code environment: skill creation, agent setup, slash commands, lifecycle hooks, MCP server development and installation. Provides decision tree for creating skills (orchestrators, role-based, process-based), agents with isolated contexts, commands with arguments, hooks for automation, and IDE integrations."
geek,ai,llm-integration,skills/faion-knowledge/knowledge/geek/ai/llm-integration/SKILL.md,"Direct integration with LLM APIs covering OpenAI, Claude, Gemini, and local models (Ollama). Includes prompt engineering (few-shot, chain-of-thought), function calling and tool use, structured output with JSON schemas, guardrails for content safety, and cost optimization. Supports multiple API formats and deployment strategies."
geek,ai,ml-engineer,skills/faion-knowledge/knowledge/geek/ai/ml-engineer/SKILL.md,"ML/AI orchestrator coordinating five specialized sub-skills: LLM integration, RAG systems, ML operations, autonomous agents, and multimodal AI. Routes AI/ML tasks based on goal (API integration, RAG, agents, fine-tuning, vision/speech). Handles LLM provider selection, vector database decisions, and deployment strategies."
geek,ai,ml-ops,skills/faion-knowledge/knowledge/geek/ai/ml-ops/SKILL.md,"Manages ML model operations including fine-tuning (LoRA, QLoRA, OpenAI API), model evaluation and benchmarking, cost optimization through token management and batching, and observability with LangSmith and Langfuse. Covers fine-tuning decision matrices, evaluation frameworks, cost reduction strategies, and LLM monitoring."
geek,ai,multimodal-ai,skills/faion-knowledge/knowledge/geek/ai/multimodal-ai/SKILL.md,"Covers multimodal AI beyond text: vision understanding (GPT-4o Vision, Gemini Vision) for OCR and analysis, image generation (DALL-E 3, Stable Diffusion), video generation (Sora, Runway), speech-to-text (Whisper), text-to-speech, and voice synthesis. Includes model comparisons and real-time voice applications."
geek,ai,rag-engineer,skills/faion-knowledge/knowledge/geek/ai/rag-engineer/SKILL.md,"Specializes in retrieval-augmented generation systems. Covers document chunking strategies (semantic, recursive), embedding generation and models, vector databases (Qdrant, Weaviate, Chroma, pgvector), hybrid search combining vector and keyword matching, reranking with cross-encoders, and RAG evaluation metrics."
geek,ba,ba-core,,"Business analysis fundamentals adapted for AI-era workflows. Covers how to integrate AI tools into requirements gathering, document analysis, and stakeholder management. Addresses AI-specific competencies including opportunity identification, requirements specification for AI initiatives, and managing trust and security risks. Use this when you need to apply business analysis methods to AI projects or leverage AI tools to accelerate traditional BA processes."
geek,ba,business-analyst,,"Advanced business analysis leveraging agentic AI systems for requirement discovery and validation. Extends core BA practices by incorporating AI agents for autonomous requirement extraction, stakeholder communication analysis, and decision support. Covers how to define agent boundaries, specify oversight requirements, and validate AI-assisted outputs against business rules. Apply when managing large-scale transformation projects where AI agents handle preliminary analysis and human experts focus on validation."
geek,dev,automation-tooling,,"Claude Code automation patterns for building development workflows with AI assistance. Covers selecting appropriate AI coding tools for different tasks, configuring hooks for automated formatting and testing, and designing tool chains that integrate with your development environment. Includes practical patterns for formatting code after edits, running linters, auto-staging changes, and enforcing quality gates. Essential for developers who want to automate repetitive actions and maintain code quality standards."
geek,dev,code-quality,,"Code quality practices enhanced with AI tools and Claude Code hooks. Covers writing effective CLAUDE.md files to onboard AI into your project, configuring pre-commit hooks for automation, and using AI to enforce coding standards. Includes strategies for maintaining consistency across the codebase, automating test execution, and integrating linting workflows. Use when setting up a new project or improving existing quality gates with AI assistance."
