# faion UA->EN query lexicon - corpus data, not code.
# Format: ua_prefix<TAB>en_terms<TAB>src   (LF, no BOM, byte-sorted, NFC)
# ua_prefix is ONE lowercase Ukrainian token with its inflectional tail
# removed; the runtime does longest-prefix matching, so `kesh` covers
# kesh/keshu/keshem/keshuvannia. No stemmer is needed - one measured zero gain.
# src is provenance, re-derived by scripts/validate-lexicon.py:
#   taxonomy  ua_prefix is a prefix of a Ukrainian trigger word in
#             skills/faion/playbooks/taxonomy.xml
#   domains   every en term attested in skills/faion/knowledge/domains.xml
#   tags      every en term attested in meta.json tags
#   title     every en term attested in corpus slugs, paths, AGENTS.md titles
#   observed  at least one en term attested only in corpus body prose
#             (capped at 20% of the file)
# Expansion BOOSTS candidates; it never filters them.
абстракц	abstraction design patterns	title
автентиф	authentication auth jwt	tags
автомасштаб	autoscaling scaling capacity	tags
автоматизац	automation automate tooling	observed
авториз	authorization auth permissions	tags
агент	ai-agents agent agents tool-use	domains
агентств	agency micro-agency client	tags
адаптац	adoption onboarding change	title
адаптивн	responsive mobile layout	tags
аджайл	agile scrum kanban	tags
алерт	alerting alerts monitoring	tags
аналітик	analytics measurement tracking	tags
анотац	annotations typing types	tags
ансібл	ansible automation configuration	observed
антипатерн	antipattern failure-modes patterns	observed
антропік	anthropic claude api	tags
апі	api rest-api openapi api-design	tags
артефакт	artifact artefact build	title
архів	archive retention storage	tags
архітектур	architecture design system-design	tags
асинхрон	async asyncio concurrency	tags
атрибуц	attribution tracking analytics	tags
аудит	audit audit-trail compliance	tags
аутентиф	authentication auth jwt	tags
аутсорс	outsource outsourcing contractor	tags
багатоагентн	multi-agent orchestration agents	domains
баз	database postgres sql schema	tags
балансув	load-balancing balancer scaling	title
безпек	security threat-modeling sast	tags
бекап	backup backup-recovery restore	title
бекенд	backend api server django	domains
беклог	backlog grooming prioritization	tags
бекоф	backoff retry exponential	observed
бенчмарк	benchmark performance evaluation	tags
блокер	blockers blocker impediment	observed
блокув	lock blocking concurrency	observed
борг	tech-debt debt backlog	tags
браузер	browser playwright e2e	tags
бренд	brand branding positioning	tags
будув	build architecture design plan-design	taxonomy
бюджет	budget cost finops	tags
бібліотек	library package dependency	title
білд	build ci pipeline	domains
вайрфрейм	wireframe prototype design	observed
валідатор	validation validator schema	observed
валідац	validation validate discover-validate	taxonomy
варт	worth prioritization value	taxonomy
вартіс	cost pricing budget	tags
варіант	option decision-matrix trade-off	taxonomy
вбит	kill kill-switch decision	tags
вебхук	webhook webhooks integration	observed
вебінар	webinar content event	title
вектор	vector-search vector-database embeddings	tags
верифікац	verification validation testing	tags
верстк	layout css responsive	tags
версі	versioning version release	tags
вибір	selection decision trade-off	tags
вибірк	sample sampling statistics	title
виклик	function-calling tool-use tools	tags
виконавец	executor agents orchestration	tags
вимог	requirements elicitation acceptance-criteria	taxonomy
виняток	exception error error-handling	title
випуск	release launch build-ship	title
випуст	release launch ship build-ship	taxonomy
вирівнюванн	alignment safety governance	tags
витрат	cost spend finops	title
витягуванн	extraction parsing structured-output	tags
витік	leak memory profiling	observed
вкаг	wcag accessibility a11y	tags
власник	ownership owner raci	title
воркер	worker jobs queue async	title
воркшоп	workshop facilitation remote-workshop-toolkit	title
воронк	funnel conversion activation	tags
впровадж	implementation adoption rollout	tags
вразлив	vulnerability cve security	domains
встановл	install installation setup	observed
відгук	feedback testimonials review	tags
відео	video youtube content	tags
відкат	rollback rollout release	tags
відкритт	discovery product-discovery research	tags
відновлен	recovery disaster-recovery restore	tags
відповідальн	raci ownership accountability	tags
відповідн	compliance conformance audit-comply	observed
відтворюван	reproducibility deterministic	title
відтік	churn retention	tags
візуаліз	visualization charts dashboards	observed
віртуалізац	containers docker isolation	tags
вітест	vitest testing javascript	tags
гайд	guide playbook howto	observed
галюцин	hallucination grounding evaluation	tags
гдпр	gdpr compliance privacy	tags
гейт	gate quality-gate ci-gate	tags
генерац	generation generate synthesis	observed
гетсбі	gatsby static site	title
голанг	go golang concurrency	tags
голос	voice vui audio	tags
гонк	race concurrency deadlock	observed
готовн	readiness definition-of-ready checklist	tags
границ	boundary scope architecture	domains
граф	graph graphql visualization	tags
графан	grafana dashboards monitoring	tags
графкуел	graphql api schema	tags
грпс	grpc protocol api	tags
гілк	branch branching git	observed
гіпотез	hypothesis discover-validate validation	taxonomy
гіт	git branch commit	title
гітлаб	gitlab ci pipeline	tags
гітхаб	github github-actions ci	tags
дан	data dataset database	tags
датасет	dataset data training	tags
дашборд	dashboards dashboard reporting metrics	tags
дебаг	debugging debug troubleshooting	title
деградац	degradation fallback resilience	observed
дедлайн	deadline delivery schedule	observed
дедлок	deadlock concurrency lock	observed
декомпозиц	decomposition breakdown modularity	title
делегув	delegation handoff ownership	tags
демо	demo storytelling	domains
деплой	deploy deployment release rollout	tags
депрекац	deprecation legacy migration	tags
детермін	deterministic determinism reproducibility	title
джава	java spring jpa	title
джаваскрипт	javascript typescript nodejs	tags
джанго	django drf python	tags
джвт	jwt authentication token	tags
джейлбрейк	jailbreak safety guardrails	tags
джест	jest testing javascript	tags
джира	jira tracker tickets	observed
дизайн	design design-system ux	tags
дискавер	discovery continuous-discovery product-discovery	tags
днс	dns domains networking	tags
дозвіл	permissions rbac access	title
доказ	evidence audit-comply validation	title
докер	docker containers infra	tags
документац	documentation docs readme	observed
дорожн	roadmap roadmapping planning	title
досліджен	research user-research market-research	tags
доступ	access permissions auth	title
доступн	accessibility a11y wcag	tags
дотнет	dotnet csharp aspnet-core	tags
дотрен	fine-tuning training	tags
дрейф	drift monitoring regression	tags
дублюванн	duplication deduplication refactoring	observed
діаграм	diagram visualization architecture	tags
евал	evaluation eval evals	domains
евристик	heuristic nielsen usability	tags
експеримент	experimentation experiment ab-testing	tags
експорт	export reporting data	observed
ембед	embeddings embedding vector-search	tags
ендпоінт	endpoint api rest-api	title
ескалац	escalation incident communication	domains
етап	milestone phase stage	observed
завершен	definition-of-done done completion	observed
загроз	threat threat-modeling security	tags
задач	task tasks backlog	domains
залежност	dependency dependencies supply-chain	tags
замовник	client customer stakeholder	title
запит	query request api retrieval	title
запуск	launch go-to-market gtm	tags
зарплат	compensation salary offer	observed
застарі	legacy deprecation tech-debt	tags
затримк	latency performance p95	tags
зацікавл	stakeholder stakeholder-management	tags
збій	failure incident outage	title
збірк	build bundler ci	observed
звіт	report reporting status	tags
здоров	health health-checks monitoring	tags
